"Timestamp","delta time","Address","Data","Input","comments"
5.011301s,5.011301s,0000:0000,0x0FF,B, device sends FF at power on.  We also set RTS and DTS (not show in this log)
18.739519s,13.728218s,0000:0001,0x089,A, computer sends halt command - which is two bytes.
18.740561s,0.001042s,0000:0002,0x089,A,
18.922849s,0.182288s,0000:0003,0x092,A, computer sends set incline 5 degrees slab - which is three bytes.
18.923891s,0.001042s,0000:0004,0x014,A,
18.924933s,0.001042s,0000:0005,0x0A6,A,
19.099214s,0.174281s,0000:0006,0x08E,A, speed 20 feet per minute
19.100255s,0.001041s,0000:0007,0x03C,A,
19.101297s,0.001042s,0000:0008,0x0CA,A,
19.282752s,0.181455s,0000:0009,0x09A,A, I have no idea what this is.  and later we may get errors anyhow...
19.283794s,0.001042s,0000:000a,0x014,A,
19.284829s,0.001035s,0000:000b,0x0AE,A,
19.462027s,0.177198s,0000:000c,0x095,A, chrip / request status
19.463068s,0.001041s,0000:000d,0x095,A,
19.464989s,0.001921s,0000:000e,0x017,B, response: status 17
19.466024s,0.001035s,0000:000f,0x00A,B, response: repeat largest byte of previsous set speed. (error?)
19.467059s,0.001035s,0000:0010,0x014,B, response: repeat largest byte of previous set incline. 
19.468094s,0.001035s,0000:0011,0x035,B, resopnse: checksum x017+x00A+x014 = x035
19.639530s,0.171436s,0000:0012,0x095,A, chrip / request status
19.640572s,0.001042s,0000:0013,0x095,A,
19.642473s,0.001901s,0000:0014,0x017,B, response: status 17
19.643508s,0.001035s,0000:0015,0x00A,B, response: repeat largest byte of previsous set speed. (again - error?)
19.644543s,0.001035s,0000:0016,0x014,B, response: repeat largest byte of previous set incline. 
19.645578s,0.001035s,0000:0017,0x035,B, resopnse: checksum x017+x00A+x014 = x035
19.822444s,0.176866s,0000:0018,0x092,A, set incline 5 degrees slab
19.823485s,0.001041s,0000:0019,0x014,A,
19.824527s,0.001042s,0000:001a,0x0A6,A,
20.003072s,0.178545s,0000:001b,0x08E,A, set speed 20 feet per minute
20.004114s,0.001042s,0000:001c,0x03C,A,
20.005155s,0.001041s,0000:001d,0x0CA,A,
20.181826s,0.176671s,0000:001e,0x092,A, set incline 5 degrees slab
20.182867s,0.001041s,0000:001f,0x014,A,
20.183909s,0.001042s,0000:0020,0x0A6,A,
20.365260s,0.181351s,0000:0021,0x08E,A, set speed 20 feet per minute
20.366302s,0.001042s,0000:0022,0x03C,A,
20.367343s,0.001041s,0000:0023,0x0CA,A,
20.724329s,0.356986s,0000:0024,0x095,A, chrip / request status
20.725371s,0.001042s,0000:0025,0x095,A,
20.727240s,0.001869s,0000:0026,0x077,B, response: status 77 (command pending)
20.728275s,0.001035s,0000:0027,0x03C,B, response: repeat largest byte of previsous set speed.
20.729310s,0.001035s,0000:0028,0x014,B, response: repeat largest byte of previous set incline.
20.730345s,0.001035s,0000:0029,0x0C7,B, resopnse: checksum x077+x03C+x014 = x0C7
21.623403s,0.893058s,0000:002a,0x095,A, chrip / request status
21.624444s,0.001041s,0000:002b,0x095,A,
21.626345s,0.001901s,0000:002c,0x077,B, response: status 77 (command pending)
21.627381s,0.001036s,0000:002d,0x03C,B,   see previous description
21.628422s,0.001041s,0000:002e,0x014,B,
21.629457s,0.001035s,0000:002f,0x0C7,B,
22.707473s,1.078016s,0000:0030,0x095,A, chrip / request status
22.708515s,0.001042s,0000:0031,0x095,A,
22.710390s,0.001875s,0000:0032,0x077,B, response: status 77 (command pending)
22.711425s,0.001035s,0000:0033,0x03C,B,
22.712466s,0.001041s,0000:0034,0x014,B,
22.713501s,0.001035s,0000:0035,0x0C7,B,
23.606650s,0.893149s,0000:0036,0x095,A, chrip / request status
23.607692s,0.001042s,0000:0037,0x095,A,
23.609600s,0.001908s,0000:0038,0x077,B, response: status 77 (command pending)
23.610641s,0.001041s,0000:0039,0x03C,B,
23.611676s,0.001035s,0000:003a,0x014,B,
23.612712s,0.001036s,0000:003b,0x0C7,B,
24.690929s,1.078217s,0000:003c,0x095,A, chrip / request status
24.691971s,0.001042s,0000:003d,0x095,A,
24.693852s,0.001881s,0000:003e,0x077,B, response: status 77 (command pending)
24.694887s,0.001035s,0000:003f,0x03C,B,
24.695922s,0.001035s,0000:0040,0x014,B,
24.696957s,0.001035s,0000:0041,0x0C7,B,
25.772291s,1.075334s,0000:0042,0x095,A, chrip / request status
25.773332s,0.001041s,0000:0043,0x095,A,
25.775201s,0.001869s,0000:0044,0x077,B, response: status 77 (command pending)
25.776236s,0.001035s,0000:0045,0x03C,B,
25.777271s,0.001035s,0000:0046,0x014,B,
25.778306s,0.001035s,0000:0047,0x0C7,B,
26.672302s,0.893996s,0000:0048,0x095,A, chrip / request status
26.673343s,0.001041s,0000:0049,0x095,A,
26.675238s,0.001895s,0000:004a,0x077,B, response: status 77 (command pending)
26.676273s,0.001035s,0000:004b,0x03C,B,
26.677315s,0.001042s,0000:004c,0x014,B,
26.678350s,0.001035s,0000:004d,0x0C7,B,
27.751795s,1.073445s,0000:004e,0x095,A, chrip / request status
27.752837s,0.001042s,0000:004f,0x095,A,
28.654612s,0.901775s,0000:0050,0x095,A, chrip / request status
28.655653s,0.001041s,0000:0051,0x095,A,
28.657554s,0.001901s,0000:0052,0x077,B, response: status 77 (command pending)
28.658590s,0.001036s,0000:0053,0x03C,B,
28.659625s,0.001035s,0000:0054,0x014,B,
28.660660s,0.001035s,0000:0055,0x0C7,B,
29.736189s,1.075529s,0000:0056,0x095,A, chrip / request status
29.737230s,0.001041s,0000:0057,0x095,A,
29.739112s,0.001882s,0000:0058,0x077,B, response: status 77 (command pending)
29.740147s,0.001035s,0000:0059,0x03C,B,
29.741182s,0.001035s,0000:005a,0x014,B,
29.742217s,0.001035s,0000:005b,0x0C7,B,
30.639109s,0.896892s,0000:005c,0x095,A, chrip / request status
30.640151s,0.001042s,0000:005d,0x095,A,
30.642046s,0.001895s,0000:005e,0x077,B, response: status 77 (command pending)
30.643081s,0.001035s,0000:005f,0x03C,B,
30.644116s,0.001035s,0000:0060,0x014,B,
30.645151s,0.001035s,0000:0061,0x0C7,B,
31.719540s,1.074389s,0000:0062,0x095,A, chrip / request status
31.720582s,0.001042s,0000:0063,0x095,A,
31.722464s,0.001882s,0000:0064,0x077,B, response: status 77 (command pending)
31.723499s,0.001035s,0000:0065,0x03C,B,
31.724534s,0.001035s,0000:0066,0x014,B,
31.725569s,0.001035s,0000:0067,0x0C7,B,
32.619551s,0.893982s,0000:0068,0x095,A, chrip / request status
32.620593s,0.001042s,0000:0069,0x095,A,
32.622494s,0.001901s,0000:006a,0x077,B, response: status 77 (command pending)
32.623536s,0.001042s,0000:006b,0x03C,B,
32.624571s,0.001035s,0000:006c,0x014,B,
32.625606s,0.001035s,0000:006d,0x0C7,B,
33.702163s,1.076557s,0000:006e,0x095,A, chrip / request status
33.703205s,0.001042s,0000:006f,0x095,A,
33.705086s,0.001881s,0000:0070,0x077,B, response: status 77 (command pending)
33.706121s,0.001035s,0000:0071,0x03C,B,
33.707157s,0.001036s,0000:0072,0x014,B,
33.708192s,0.001035s,0000:0073,0x0C7,B,
34.605188s,0.896996s,0000:0074,0x095,A, chrip / request status
34.606230s,0.001042s,0000:0075,0x095,A,
34.608124s,0.001894s,0000:0076,0x077,B, response: status 77 (command pending)
34.609159s,0.001035s,0000:0077,0x03C,B,
34.610195s,0.001036s,0000:0078,0x014,B,
34.611230s,0.001035s,0000:0079,0x0C7,B,
35.684473s,1.073243s,0000:007a,0x095,A, chrip / request status
35.685515s,0.001042s,0000:007b,0x095,A,
35.687403s,0.001888s,0000:007c,0x077,B, response: status 77 (command pending)
35.688438s,0.001035s,0000:007d,0x03C,B,
35.689473s,0.001035s,0000:007e,0x014,B,
35.690508s,0.001035s,0000:007f,0x0C7,B,
36.765946s,1.075438s,0000:0080,0x095,A, chrip / request status
36.766981s,0.001035s,0000:0081,0x095,A,
36.768849s,0.001868s,0000:0082,0x077,B, response: status 77 (command pending)
36.769885s,0.001036s,0000:0083,0x03C,B,
36.770920s,0.001035s,0000:0084,0x014,B,
36.771955s,0.001035s,0000:0085,0x0C7,B,
37.666888s,0.894933s,0000:0086,0x095,A, chrip / request status
37.667929s,0.001041s,0000:0087,0x095,A,
37.669817s,0.001888s,0000:0088,0x077,B, response: status 77 (command pending)
37.670852s,0.001035s,0000:0089,0x03C,B,
37.671888s,0.001036s,0000:008a,0x014,B,
37.672923s,0.001035s,0000:008b,0x0C7,B,
38.748360s,1.075437s,0000:008c,0x095,A, chrip / request status
38.749395s,0.001035s,0000:008d,0x095,A,
38.751270s,0.001875s,0000:008e,0x077,B, response: status 77 (command pending)
38.752305s,0.001035s,0000:008f,0x03C,B,
38.753341s,0.001036s,0000:0090,0x014,B,
38.754376s,0.001035s,0000:0091,0x0C7,B,
39.650240s,0.895864s,0000:0092,0x095,A, chrip / request status
39.651281s,0.001041s,0000:0093,0x095,A,
39.653163s,0.001882s,0000:0094,0x077,B, response: status 77 (command pending)
39.654198s,0.001035s,0000:0095,0x03C,B,
39.655233s,0.001035s,0000:0096,0x014,B,
39.656275s,0.001042s,0000:0097,0x0C7,B,
40.733789s,1.077514s,0000:0098,0x095,A, chrip / request status
40.734831s,0.001042s,0000:0099,0x095,A,
40.736686s,0.001855s,0000:009a,0x077,B, response: status 77 (command pending)
40.737721s,0.001035s,0000:009b,0x03C,B,
40.738756s,0.001035s,0000:009c,0x014,B,
40.739791s,0.001035s,0000:009d,0x0C7,B, 
